Titre,Entreprise,Ville_Clean,Departement,Type_Contrat,Salaire_Annuel_Estime,Date_Publication,URL,Description_Propre,Date_Expiration,Source
Data Analyst (H/F),Confidentiel,FERNEY VOLTAIRE,01,CDD,,2026-02-10,https://candidat.francetravail.fr/offres/recherche/detail/203WQYC,"Rôle et Responsabilités Intégré(e) au sein de notre petite équipe dynamique et multiculturelle, vous serez en charge de la collecte, du traitement et de l'intégration de sources de données externes dans les systèmes de bases de données internes de l'entreprise. Vous contribuerez à la mise en place de flux de données fiables et soutiendrez ainsi le travail d'analyse de l'entreprise. Plus précisément, votre travail sera constitué des tâches suivantes : -Développer, maintenir et optimiser des flux de données automatisés pour importer des données provenant de sources externes (API, sites internet, fichiers PDF) dans la base de données interne de l'entreprise. -Garantir la qualité, la cohérence et la fiabilité des données tout au long des processus d'importation et de transformation. -Collaborer étroitement avec les consultants et data scientists de l'entreprise, afin de comprendre leurs besoins et de soutenir les flux de travail analytique -Contribuer à la création et à la maintenance de tableaux de bord sur Power BI pour l'analyse interne et les livrables clients. -Aider à documenter les processus de données, les pipelines et les flux de travail techniques",,France Travail
Data Analyst (H/F),Confidentiel,PARIS,75,CDI,38000.0,2026-02-06,https://candidat.francetravail.fr/offres/recherche/detail/203STTP,"Data Reporting Construction des dashboards de suivi de performances des clients de l'agence (gestion des accès, paramétrage des vues, optimisations des reportings, maintenance). Les leviers peuvent être organiques, paid (SEA, SMA, Programmatique / Display & others). Vous participez à l'analyse de performances de campagnes nécessitant une réelle expertise. Outils / Baromètre Production et développement des outils internes 'Social Insight' pour dresser des tendances sectorielles et produire des baromètres signifiants. Vous participez à la conception d'outils & méthodologies innovantes de mesure de la performance avec nos équipes consulting stratégique et nos experts media (mesure cross-channel, modèle d'attribution post cookie, etc.). Tag Management Tech & Tools Vous êtes en charge de la construction, animation et optimisation de notre outil de Marketing Mix Modeling. Vous participez au déploiement de l'outil sur nos clients en fonction de leur besoin et êtes l'interlocuteur privilégié pour configurer et adapter l'outil. Vous êtes aussi mobilisé avec les équipes Dev pour la construction et l'optimisation de l'outil Saas.",,France Travail
Stage/alternance - Data analyst (F/H) (H/F),NOVOMA,Toulouse,31,CDD,,2026-02-05,https://candidat.francetravail.fr/offres/recherche/detail/203QNZN,"Tu prépares un Master en école d'ingénieur ou en data, tu es passionné(e) par l'exploitation et la structuration de la donnée sous toutes ses formes et tu souhaites développer tes compétences dans une entreprise en pleine croissance ? Alors, on a peut-être l'alternance ou le stage parfait pour toi ! Sous la supervision du responsable financier, voici à quoi pourraient ressembler tes missions : * Collecter et fiabiliser les données issues des différents outils de l'entreprise ; * Nettoyer et structurer les bases de données pour garantir leur exploitation optimale ; * Participer à la fiabilisation des données comptables et financières ; * Mettre en place et optimiser les process data pour structurer l'organisation de l'information ; * Identifier et automatiser les tâches manuelles répétitives liées au traitement des données financières ; * Mettre en place et assurer la mise à jour de tableaux de bord de pilotage automatisés ; * Créer et mettre à jour les outils de BI pour assurer la data-visualisation (Power BI) ; * Exploiter et traiter les flux de données (SQL, Excel, Python, VBA...) ; * Analyser la performance par canal (E-shop, Amazon, Retail) et par produit ; * Contribuer aux analyses financières stratégiques sous la supervision du Responsable Financier ; * Identifier les anomalies et proposer des leviers d'optimisation pour l'activité. Stage de 6 mois ou alternance dans nos bureaux de Toulouse, du lundi au vendredi, 35h par semaines, à pourvoir dès que possible. Tu es étudiant(e) Tu fais preuve d'autonomie et de rigueur Tu sais être force de proposition C'EST L'ALTERNANCE OU LE STAGE PARFAIT POUR TOI !",,France Travail
Data Business Analyst F/H (H/F),SAMSE,Grenoble,38,CDI,36000.0,2026-02-02,https://candidat.francetravail.fr/offres/recherche/detail/203MHWH,"Nous recherchons un(e) Data Business Analyst qui sera rattaché(e) à Mohamed, Directeur de la Performance Financière. Tu contribueras à l'amélioration de la performance économique des métiers du groupe et seras l'interface entre les équipes opérationnelles, la finance et le décisionnel. Tu identifies, analyses et priorises les leviers d'optimisation financière en t'appuyant sur la donnée. Tes missions seront diverses et variées : Identification des leviers de performance - Analyser les processus métiers sous l'angle coûts, marges, efficacité et productivité - Identifier les zones de non-performance et les opportunités d'optimisation financière Cadrage des besoins BI (en amont des projets) - Traduire les enjeux métiers en besoins analytiques - Définir les KPI, règles de gestion et axes d'analyse Pilotage métier des projets BI - Co-construire les solutions décisionnelles avec le référent BI - Valider la cohérence métier des données et des indicateurs - Participer aux recettes fonctionnelles et accompagner l'adoption des outils Animation de la culture data métier - Aider à la lecture, à l'interprétation et à l'appropriation des indicateurs - Diffuser une culture de pilotage de la performance par la donnée Au sein du Groupe SAMSE, nous sommes convaincus que la diversité des talents est une richesse. Nous encourageons les candidatures de toutes les personnes qui souhaitent contribuer à notre dynamique collective. Le poste est ouvert aux candidat(e)s issu(e)s d'une formation BAC+ 5 en contrôle de gestion ou finance d'entreprise. Tu possèdes une expérience d'au moins 5 ans sur un poste similaire. Tu as des compétences analytiques et une capacité à résoudre des problèmes complexes. Ton aisance relationnelle te permet de travailler efficacement avec différents interlocuteurs. Tu maîtrises Excel et tu as une forte appétence sur les outils de reporting notamment Power BI. Nous te proposons : - Statut cadre en forfait jour ; - Basé à Grenoble ; - Possibilité de télétravail 1 à 2 jours (par semaine) ; - Une rémunération attractive qui valorisera ta motivation a partir de 36 K€ brut fixe annuel + variable ; - Une prime de Noël et une prime de vacances ; - Une prime d'intéressement et une prime de participation ; - Une prévoyance et une mutuelle ; - Une carte société qui te permettra d'avoir des prix préférentiels sur les produits de nos enseignes ; - Un fond commun de placement avec un abondement de 40% ; - Des négociations annuelles obligatoires. Et au-delà... Tu vas pouvoir te construire un parcours qui te ressemble vraiment. Dans le cadre de notre politique de mobilité interne, tu pourras découvrir d'autres métiers, enseignes ou régions. Déroulement du processus de recrutement : 1. Entretien téléphonique 2. Premier entretien RH / manager 3. Second entretien manager / N+2 Nos étapes de recrutement / Groupe https://www.groupesamserecrute.fr",,France Travail
Data analyst (H/F),MANPOWER,Octeville-sur-Mer,76,MIS,,2026-02-02,https://candidat.francetravail.fr/offres/recherche/detail/203LZDT,"Manpower LE HAVRE INDUSTRIE SERVICES recherche pour son client, un acteur du secteur des Industries manufacturières et production, un Data analyst (H/F) En rejoignant cette mission, vous serez amené à collaborer avec le service approvisionnement. -Analyser les données afin d'identifier des axes d'optimisation -Construire des rapports dynamiques et adaptés -Optimiser la collecte et la gestion des données -Développer des outils de suivi de performance -Suivre l'évolution des indicateurs clés -Collaborer avec les équipes techniques et opérationnelles -Réaliser des audits réguliers des bases de données -Communiquer les résultats aux parties prenantes -Vous justifiez d'expériences en gestion de datas et d'une formation adaptée, maîtrisez Excel, Power BI et savez construire des analyses précises -Vous avez déjà travaillé avec des services d'approvisionnement -Votre dynamisme et votre rigueur vous définiront Manpower vous offre de nombreux avantages... un CE et un CCE pour obtenir des chèques vacances, des chèques lires, des voyages organisés, des bons cadeaux pour les événements de la vie, des réductions pour les sportifs... Nouveauté : Manpower vous donne la possibilité de valoriser vos indemnités de fin de mission jusqu'à 8% d'intérêts en les plaçant sur un Compte Epargne Temps. Profitez en !",,France Travail
Suport Data Analyst (h/f),ADECCO FRANCE,MOLSHEIM,67,MIS,36000.0,2026-01-30,https://candidat.francetravail.fr/offres/recherche/detail/203KRVN,"A la recherche de nouvelles affinités professionnelles ? LHH-Recruitment solution, cabinet de conseil en recrutement intérim spécialisé, management de transition, et évaluation d'expert.e.s, cadres et dirigeant.e.s, recherche pour son client, un Support data analyst H/F, en travail temporaire longue durée. Notre client est une structure industrielle appartenant à un groupe internationalement reconnu dans le secteur automobile, à Molsheim. Au sein d'une équipe IT, vous participez à la conception et l'exploitation d'applications de Master Data, et le traitement de commandes et d'informatique décisionnelle pour soutenir les équipes commerciales et marketing dans un contexte international. Vous contribuez au support et à l'évolution de la plateforme interne de données. Vos principales missions : - Assurer le support de niveau 2 et la gestion des incidents : analyser les problèmes de données et proposer des actions correctives avec les partenaires internes, dans le respect des SLA (Service Level Agreements). - Documenter les incidents récurrents et mettre en œuvre des actions d'amélioration continue (contrôles qualité, automatisations, suivi de KPI). - Collaborer avec de multiples équipes métier et IT (internes et externes) pour prioriser les demandes et partager les analyses. - Réaliser des analyses de données et produire des reportings ad hoc : - Garantir la qualité des données : en mettant en place des contrôles, du monitoring et des validations automatiques (Azure Data Factory, Databricks,..). Vous êtes titulaire d'une formation supérieure de type Bac+5 en informatique, data, statistique ou connexe et vous avez au minimum 2 années en gestion d'incidents sur des systèmes de données et d'intégration. Vous avez de solides connaissances en requêtage sur SQL, Postgre SQL et des connaissances des bases de données. Des connaissances de solutions Jira, confluence sont un atout. De très bonnes connaissances en langue anglaise sont impératives, l'allemand est un atout. -> Cette mission pourrait déboucher sur un contrat en CDI. Vous êtes autonome, organisé avec le sens des priorités ? Vous avez une communication claire et fluide, notamment au sein d'un contexte en mutli-équipe? vous êtes le profil que notre client recherche ! Du télétravail est possible sur ce poste, une partie de la semaine. Quelques déplacements ponctuels sont à prévoir environ 2x par mois sur un autre site (pour la journée principalement). En fin d'année, il y a quelques jours en astreinte. Ce poste comprend un salaire fixe à définir selon les compétences / expériences de la personne retenue, et s'ajoutent d'autres avantages intéressants et primes (indemnité km, indemnité télétravail). Le site est accessible en transport en commun. Nous attendons votre candidature ! pour faire la différence : www.lhh.",,France Travail
Business Data Analyst (h/f),ADECCO FRANCE,MOLSHEIM,67,MIS,36000.0,2026-01-30,https://candidat.francetravail.fr/offres/recherche/detail/203KRVM,"A la recherche de nouvelles affinités professionnelles ? LHH-Recruitment solution, cabinet de conseil en recrutement intérim spécialisé, management de transition, et évaluation d'expert.e.s, cadres et dirigeant.e.s, recherche pour son client, un Business data analyst H/F, en travail temporaire longue durée. Notre client est une structure industrielle appartenant à un groupe internationalement reconnu dans le secteur automobile, à Molsheim. Au sein d'une équipe IT, vous participez à la conception et l'exploitation d'applications de Master Data, et le traitement de commandes et d'informatique décisionnelle pour soutenir les équipes commerciales et marketing dans un contexte international. Vous intervenez à la compréhension des besoins métiers et faites l'interface avec les équipes d'ingénieur en développement data en local. Vos principales missions : - Réaliser le recueil des besoins, cadrage des cas d'usage, priorisation et alignement des parties prenantes. - Traduire les besoins en spécifications fonctionnelles et règles de calcul, définissez les KPI, identifiez les sources et critères d'acceptation. - Concevoir des modèles de données analytiques et couches sémantiques (Power BI), créez des datasets et des tableaux de bord - Collaborer avec les Data Engineers pour la mise à disposition des données - Réaliser des contrôles de qualité Vous êtes titulaire d'une formation supérieure de type Bac+5 en informatique, data, statistique, gestion de projet ou connexe et vous avez au minimum 2 années d'expérience dans le domaine en BI ou analytics. Vous avez de solides connaissances en SQL et Power BI. Des connaissances de solutions Cloud (Azur et Data lake, databricks) et des outils des outils Jira, power Bi.. De très bonnes connaissances en langue allemande sont impératives, l'anglais est souhaité. -> Ce poste pourrait déboucher sur un contrat en CDI. Vous êtes autonome, curieux, polyvalent ? Vous avez également de très bonnes compétences en communication, notamment au sein de groupe majeur ? vous êtes le profil que notre client recherche ! Du télétravail est possible sur ce poste, une partie de la semaine. Quelques déplacements ponctuels sont à prévoir environ 2x par mois sur un autre site (pour la journée principalement). Ce poste comprend un salaire fixe à définir selon les compétences / expériences de la personne retenue, et s'ajoutent d'autres avantages intéressants et primes (,indemnité km, indemnité télétravail). Le site est accessible en transport en commun. Nous attendons votre candidature ! pour faire la différence : www.lhh.com",,France Travail
Data analyst (H/F),DAVIDSON PACA,VALBONNE,06,CDI,,2026-01-27,https://candidat.francetravail.fr/offres/recherche/detail/203GHVP,"Rejoindre Davidson, ce n'est pas seulement intégrer un groupe de 3000 consultants dans 6 pays et 2 continents, c'est intégrer LA société qui a été élue par ses salariés Great Place To Work France et Europe pendant 4 ans mais aussi une des plus grandes B Corp de France, nommée Best of the World dans la catégorie ""collaborateurs"" en 2022 ! (Les ""B Corp"" formant une communauté de sociétés qui ont décidé d'être non pas les meilleures du monde mais les meilleures POUR le monde). Parce que notre développement repose sur des principes forts : Un profond respect de l'ensemble de nos parties prenantes : consultant(e)s, clients et fournisseurs. Car si le travail ""ne fait pas le bonheur"", il peut cependant ""faire le malheur"". Nous nous engageons donc à écouter et agir avec honnêteté. Une égalité des chances dans le traitement de nos candidatures et dans la gestion de carrière de nos salarié(e)s. Nous croyons en un milieu de travail où équité F/H, inclusion et diversité sont la norme. Une empreinte environnementale minimale, et sociétale maximale. C'est pourquoi, au-delà des missions que vous réaliserez, vous pourrez également contribuer à des projets que Davidson soutient : missions de solidarité internationale (avec Planète Urgence), bénévolat auprès d'associations (chaque Davidsonien(ne) dispose de 3 jours par an pour intervenir à leurs côtés), accompagnement d'étudiant(e)s issus de milieux peu favorisés (avec Article 1), investissement dans des startups développant des solutions innovantes, actions collectives et individuelles pour la réduction de notre impact carbone. Un Management adhocratique basé sur la mise en œuvre des principes de ""l'entreprise horizontale"" et du ""management tribal"". Sur ce dernier point une précision d'importance : le bien-être au travail est un luxe qu'il faut pouvoir s'offrir en étant une entreprise ""sol Dans un contexte technique et innovant, vous intégrerez notre équipe Data pour accompagner nos clients dans la valorisation de leurs données et le développement de solutions décisionnelles à forte valeur ajoutée. Vos missions principales seront : Conception et développement : Créer, optimiser et maintenir des tableaux de bord interactifs sous Power BI répondant aux exigences métiers. Analyse et qualité des données : Collaborer avec les métiers pour définir des règles de qualité, mettre en évidence les anomalies et faciliter leur résolution. Documentation et accompagnement : Documenter les développements réalisés et former les utilisateurs pour leur assurer autonomie et compréhension des outils. Veille et innovation : Participer activement à la veille technologique sur Power BI et les technologies associées pour proposer des solutions innovantes. Gestion de projets : Conduire des projets de bout en bout, de la compréhension des besoins métier à la mise en production des solutions. Technologies utilisées Langages & outils : Power BI (DAX, Power Query, Power BI Service), SQL, Python. Plateformes et frameworks : Power Platform (Power Automate, Power Apps), Azure, GitLab. Conception et design : UI/UX pour des rapports ergonomiques et intuitifs. Compétences requises Formation : Bac +5 minimum, spécialisation en Data Engineering, BI ou équivalent. Expérience : 2 à 3 ans d'expérience sur des projets BI avec une expertise en Power BI. Compétences techniques : Maîtrise avancée de Power BI (DAX, Power Query, gestion des espaces de travail). Compétence en modélisation de données et utilisation avancée de SQL. Connaissance des outils Cloud Microsoft tels qu'Azure et Power Platform. Notions en Python pour des besoins complémentaires d'analyse ou de développement. Aptitudes personnelles : Esprit analytique et rigueur. Capacité à communiquer avec des interlocuteurs variés, techniques et fonctionnels. Passion pour les nouvelles technologies et l'innovation dans le domaine de la Data. Autonomie et sens de l'organisation.",,France Travail
Data Analyst Junior (H/F),LABORATOIRE DE DERMOCOSMETIQUE ACTIVE DR,ISSY LES MOULINEAUX,92,CDI,,2026-01-23,https://candidat.francetravail.fr/offres/recherche/detail/203BTYM,"Prêt(e) à découvrir une nouvelle opportunité chez Groupe Rocher, une entreprise qui reconnecte les femmes et les hommes à la nature ? Dr Pierre Ricaud, s'est donné pour mission de permettre à chaque femme de vivre son âge comme le meilleur. Spécialiste de l'anti-âge depuis 1986, nos formules allient des actifs dermocosmétiques à la puissance des plantes médicinales(1). Nous fabriquons nos soins en France sans intermédiaire(2). Marque engagée, nous soutenons chaque année des actions solidaires pour le bien-être des femmes et agissons pour réduire notre impact sur l'environnement. (1)actifs cosmétiques issus des plantes médicinales. (2) 87% des volumes vendus en 2020 sont fabriqués en France sans intermédiaire Vous souhaitez évoluer au cœur des enjeux data et business ? Rejoignez-nous et devenez un acteur clé de la transformation data de la marque Dr Pierre Ricaud, en mettant vos compétences au service des équipes métier pour délivrer des usages à forte valeur ajoutée. En tant que Data Analyst, vous jouerez un rôle essentiel pour contribuer à la réussite de la trajectoire data de la marque. Vos missions : Être un véritable business partner : comprendre les enjeux, analyser les usages actuels et challenger les besoins pour proposer des solutions data adaptées et impactantes Contribuer activement à la transformation data : accompagner la migration des usages existants vers les nouveaux outils cibles (GCP, Looker, Tableau), tout en garantissant leur continuité et leur pertinence. Vous façonnerez et ferez évoluer les pratiques au rythme des nouveaux enjeux. Assurer des activités de ""run"" récurrentes, telles que : Targeting : ciblage et extractions de fichiers clients en lien avec les équipes commerciales pour des campagnes marketing multicanales Reporting : mise à jour régulière et analyse des indicateurs clés de performance Data quality : contrôle de la fiabilité des données, détection et suivi des anomalies Apporter des analyses et recommandations pour améliorer les processus métier et générer de la valeur. Ce que nous pouvons vous offrir : Intégrer un groupe familial d'origine française et d'envergure internationale Intégrer une équipe marketing passionnée, engagée et bienveillante Participer aux initiatives d'intégration, de formation et RSE en interne Un accord de télétravail de 2 jours par semaine Une politique de mobilité en interne, avec des perspectives d'évolution vers d'autres expertises ou métier Une culture ancrée dans la confiance, le respect, la collaboration, la responsabilisation et où l'audace est encouragée ___ Vous êtes un(e) candidat(e) idéal(e) si : Vous êtes diplômé(e) d'une formation en statistiques, data science ou équivalent (Bac+5) Vous justifiez d'une première expérience en tant que Data Analyst (stage ou alternance inclus), d'une durée de 1 à 2 ans minimum Vous maîtrisez parfaitement le langage SQL pour l'extraction et la manipulation de données (environnement GCP) Vous avez une bonne maîtrise d'un outil de Business Intelligence, idéalement Tableau ou Looke Vous maîtrisez DBT et Google Analytics Vous faites preuve d'une forte appétence business et êtes à l'aise pour comprendre les enjeux métiers, échanger avec des interlocuteurs variés (équipes data, IT, commerciales) et formuler des recommandations pertinentes Vous êtes doté(e) d'une aisance relationnelle et savez vulgariser vos analyses auprès d'un public non spécialiste Vous avez un esprit analytique, faites preuve de rigueur, de synthèse et d'autonomie dans la conduite de vos projets Prêt(e) à faire bouger les lignes avec nous ? N'attendez plus et postulez ! Le Groupe Rocher analyse chaque candidature avec la même attention sans distinction de caractéristiques personnelles telles que : le genre, l'orientation sexuelle, l'âge, la culture, les origines ou le handicap. Comme pour la Nature, nous sommes convaincus que la diversité est une f",,France Travail
Data analyst (H/F),SELAS PHARMACIE DE LA CHAUSSEE D ANTIN,PARIS 09,75,CDI,34800.0,2026-01-22,https://candidat.francetravail.fr/offres/recherche/detail/202ZSNC,"Le Data Analyst a pour rôle d'analyser la performance commerciale, d'optimiser la rentabilité des assortiments et d'accompagner l'équipe des Achats et la Direction dans leurs prises de décisions stratégiques. Il met à disposition des KPI fiables, des reports clairs et des recommandations basées sur la donnée. 1. Analyse commerciale, de la rentabilité, marge & ventes * Analyse détaillée de la marge par produit, famille, univers (CA, volumes, progression, opportunités) ou laboratoire (benchmarks, écarts, positionnement). * Identification des marges faibles, des anomalies et des pistes d'amélioration. * Mesure d'impact : déterminer quel volume compenser en cas de baisse prix. * Simulation de scénarios (prix, remises, promotions). * Analyse des offres commerciales et de leur ROI. 2. Accompagnement des Acheteurs * Recommandations sur les tarifs, volumes, coopérations commerciales. * Aide active à la prise de décision. * Mise en lumière des promotions qui fonctionnent et des trade marketing rentables ou non. * Étude des comportements d'achat et tendances de consommation. * Préparation des RDV Labo : synthèse des performances, analyses des promotions, recommandations tarifaires/volumes, points d'alerte. 3. Reporting Achats & Performance Produits * Suivi régulier des stocks, des produits à rotation lente, des stocks dormants, des invendus.. * Comparaison des perfor-mances et identification des leviers de croissance 4. Budget, Pilotage & KPI's * Aide à la construction du budget annuel. * Simulation et suivi des objectifs. * Mise à jour régulière des prévisions. * Construction de tableaux de bord (stock, CA, marge, accélération / décélération des ventes). * Création et automatisation de KPI clés. * Diffusion d'une information fiable et mise à jour. Votre Profil : Expérience de 3 à 5 ans (dans les achats/distribution/retail appréciée). Curieux, fiable avec une capacité d'adaptation. Aime le terrain et l'aspect opérationnel de son métier. Maitrise des outils informatiques.",,France Travail
